search_log_id;upsell_type;name;unit_price;pieces;sum_price
129894;12;MEDI40_EN;37.8;2;75.6
130637;12;MEDI40_HU;13600.0;1;13600.0
132560;13;SUMCSOB90_DE;55.3;1;55.3
132895;2;PROS_HU;10990.0;1;10990.0
132895;9;NONABAR_HU;8990.0;1;8990.0
134278;1;HCHAMPAGNE_HU;8990.0;1;8990.0
134278;8;FRUITCHOC_HU;19990.0;1;19990.0
134278;13;SUMCSOB90_HU;19900.0;1;19900.0
135503;8;FRUITCHOC_HU;19990.0;1;19990.0
135604;2;PROS_HU;10990.0;1;10990.0
135627;2;PROS_HU;10990.0;1;10990.0
136466;3;KREINBON_HU;61.0;1;122.0
136466;11;AM30_DE;31.0;1;31.0
138148;13;SUMCSOB90_HU;19900.0;1;19900.0
138163;9;NONABAR_HU;8990.0;1;8990.0
138163;13;SUMCSOB90_HU;19900.0;1;19900.0
138163;14;SUMCSOB80_EN;26500.0;1;26500.0
138202;9;NONABAR_HU;8990.0;1;8990.0
139552;12;MEDI40_EN;37.8;2;75.6
139552;12;MEDI40_EN;37.8;2;75.6
139616;13;SUMCSOB90_HU;19900.0;1;19900.0
142400;1;HCHAMPAGNE_HU;24.97;1;24.97
143449;12;MEDI40_EN;37.8;1;37.8
144883;13;SUMCSOB90_HU;19900.0;1;19900.0
144996;16;BALA25_DE;30.0;1;30.0
146240;18;BALDREAM_EN;102.22;2;204.44
148411;17;BALDREAM_DE;171.25;1;171.25
150639;12;MEDI40_EN;37.8;2;75.6
150795;9;NONABAR_HU;8990.0;1;8990.0
150926;12;MEDI40_HU;13600.0;2;27200.0
152406;12;MEDI40_HU;13600.0;2;27200.0
152609;10;ABAR_HU;21990.0;1;21990.0
152710;12;MEDI40_HU;13600.0;2;27200.0
154288;8;FRUITCHOC_DE;55.53;1;55.53
154288;20;M40_DE;35.0;1;35.0
154288;21;IM_DE;40.0;1;40.0
154288;29;LM120_EN;87.0;1;87.0
155748;28;HAR60_EN;8910.0;1;8910.0
156772;9;NONABAR_HU;8990.0;1;8990.0
156772;21;IM_HU;15210.0;1;15210.0
156810;12;MEDI40_HU;12240.0;2;24480.0
156824;24;HUSPRING_HU;23850.0;1;23850.0
156840;22;SWEET50_HU;16560.0;1;16560.0
156840;28;HAR60_EN;8910.0;2;17820.0
156872;17;BALDREAM_HU;55485.0;1;55485.0
156980;21;IM_EN;40.0;2;80.0
156980;26;DC90_EN;63.0;2;126.0
157081;28;HAR60_EN;8910.0;1;8910.0
157399;28;HAR60_EN;8910.0;1;8910.0
157500;21;IM_HU;15210.0;1;15210.0
157418;29;LM120_EN;33210.0;1;33210.0
157622;17;BALDREAM_HU;55485.0;1;55485.0
157679;28;HAR60_EN;8910.0;1;8910.0
157730;12;MEDI40_HU;12240.0;2;24480.0
157862;28;HAR60_EN;8910.0;1;8910.0
157984;20;SZM40_HU;13230.0;1;13230.0
158104;12;MEDI40_HU;12240.0;2;24480.0
158825;10;ABAR_HU;21990.0;1;21990.0
160125;28;HAR60_EN;8910.0;1;8910.0
161678;17;BALDREAM_DE;154.13;1;154.13
161678;20;M40_DE;35.0;2;70.0
161678;23;EXBAMB50_DE;41.0;2;82.0
162633;28;HAR60_EN;8910.0;1;8910.0
